"","Temp","Humidity","Precipitation","Pressure","Wind","Visibility","Temp_AA","Precipitation_AA","Events"
"2015-04-10",9.0,90.0,4.32,1014.0,7.0,7.0,-2.0,0.0,"Rain"
"2015-04-11",11.0,48.0,0.0,1015.0,14.0,16.0,0.0,-4.06,""
"2015-04-12",13.0,39.0,0.0,1025.0,5.0,16.0,2.0,-4.06,""
"2015-04-13",15.0,43.0,0.0,1025.0,7.0,16.0,4.0,-4.06,""
"2015-04-14",16.0,50.0,0.25,1020.0,6.0,16.0,4.0,-3.81,""
"2015-04-15",17.0,27.0,0.0,1022.0,10.0,16.0,5.0,-3.81,""
"2015-04-16",14.0,39.0,0.0,1029.0,10.0,16.0,2.0,-3.56,""
"2015-04-17",17.0,68.0,2.03,1017.0,8.0,15.0,5.0,-1.7800000000000002,"Rain"
"2015-04-18",21.0,38.0,0.0,1014.0,7.0,16.0,9.0,-3.56,""
"2015-04-19",13.0,41.0,0.0,1023.0,14.0,16.0,1.0,-3.81,""
"2015-04-20",11.0,83.0,34.8,1008.0,12.0,5.0,-2.0,31.24,"Fog Rain"
"2015-04-21",15.0,63.0,5.08,1004.0,10.0,10.0,2.0,1.52,"Rain"
"2015-04-22",15.0,49.0,1.27,1005.0,10.0,15.0,2.0,-2.29,"Rain"
"2015-04-23",8.0,47.0,0.0,1007.0,15.0,16.0,-5.0,-3.56,""
"2015-04-24",8.0,35.0,0.0,1011.0,14.0,16.0,-5.0,-3.56,""
"2015-04-25",10.0,36.0,0.0,1009.0,9.0,16.0,-3.0,-3.56,""
"2015-04-26",13.0,36.0,0.0,1005.0,8.0,16.0,-1.0,-3.56,""
"2015-04-27",13.0,40.0,0.0,1005.0,9.0,16.0,-1.0,-3.56,""
"2015-04-28",16.0,43.0,0.0,1007.0,13.0,16.0,2.0,-3.81,""
"2015-04-29",18.0,44.0,0.0,1006.0,9.0,16.0,4.0,-3.56,""
"2015-04-30",14.0,53.0,0.0,1009.0,13.0,16.0,0.0,-3.3,""
"2015-05-01",13.0,59.0,0.0,1014.0,8.0,16.0,-1.0,-3.05,""
"2015-05-02",16.0,56.0,0.0,1015.0,5.0,16.0,2.0,-3.05,""
"2015-05-03",19.0,41.0,0.0,1019.0,4.0,16.0,4.0,-3.3,""
"2015-05-04",22.0,47.0,0.0,1021.0,9.0,15.0,7.0,-3.3,""
"2015-05-05",24.0,44.0,0.0,1022.0,6.0,16.0,9.0,-3.3,""
"2015-05-06",19.0,41.0,2.96,1024.0,8.0,16.0,3.0,-0.5,""
"2015-05-07",20.0,54.0,0.0,1022.0,4.0,16.0,4.0,-3.56,""
"2015-05-08",21.0,62.0,0.0,1021.0,5.0,10.0,5.0,-3.05,""
"2015-05-09",18.0,77.0,0.0,1025.0,7.0,9.0,2.0,-3.3,""
"2015-05-10",22.0,71.0,0.0,1023.0,6.0,12.0,6.0,-3.3,""
"2015-05-11",25.0,70.0,2.96,1019.0,6.0,13.0,9.0,-0.5,"Rain"
"2015-05-12",24.0,58.0,0.0,1011.0,9.0,14.0,8.0,-3.3,""
"2015-05-13",17.0,43.0,0.0,1019.0,12.0,16.0,0.0,-3.05,""
"2015-05-14",17.0,37.0,0.0,1027.0,6.0,16.0,0.0,-3.05,""
"2015-05-15",18.0,45.0,0.0,1025.0,5.0,16.0,1.0,-3.3,""
"2015-05-16",19.0,67.0,7.62,1022.0,3.0,11.0,2.0,4.32,"Rain"
"2015-05-17",23.0,72.0,0.51,1021.0,3.0,8.0,6.0,-2.79,"Rain"
"2015-05-18",20.0,77.0,0.0,1021.0,7.0,10.0,3.0,-3.3,""
"2015-05-19",21.0,72.0,2.96,1013.0,4.0,8.0,4.0,-0.5,"Rain"
"2015-05-20",16.0,47.0,0.0,1013.0,11.0,16.0,-2.0,-3.56,""
"2015-05-21",14.0,54.0,0.0,1014.0,4.0,16.0,-4.0,-3.56,""
"2015-05-22",18.0,51.0,0.0,1014.0,10.0,16.0,0.0,-3.81,""
"2015-05-23",16.0,38.0,0.0,1027.0,7.0,16.0,-2.0,-3.81,""
"2015-05-24",21.0,38.0,0.0,1026.0,6.0,16.0,3.0,-3.81,""
"2015-05-25",24.0,52.0,0.0,1023.0,8.0,16.0,6.0,-3.81,""
"2015-05-26",26.0,54.0,0.0,1022.0,8.0,16.0,8.0,-3.81,""
"2015-05-27",26.0,70.0,2.03,1021.0,8.0,14.0,7.0,-1.5300000000000002,"Rain"
"2015-05-28",26.0,62.0,0.0,1021.0,7.0,13.0,7.0,-3.56,""
"2015-05-29",24.0,57.0,0.0,1025.0,7.0,16.0,5.0,-4.06,""
"2015-05-30",24.0,68.0,0.0,1021.0,9.0,16.0,5.0,-3.81,""
"2015-05-31",22.0,74.0,37.08,1018.0,9.0,10.0,3.0,33.27,"Fog Rain"
"2015-06-01",13.0,90.0,18.29,1020.0,17.0,7.0,-6.0,14.23,"Rain"
"2015-06-02",12.0,88.0,9.4,1021.0,10.0,10.0,-7.0,5.340000000000002,"Rain"
"2015-06-03",16.0,67.0,0.0,1023.0,7.0,16.0,-4.0,-4.06,""
"2015-06-04",16.0,69.0,0.0,1024.0,8.0,16.0,-4.0,-4.06,""
"2015-06-05",17.0,80.0,3.3,1019.0,5.0,10.0,-3.0,-0.7599999999999998,"Rain"
"2015-06-06",20.0,60.0,4.83,1013.0,7.0,10.0,-1.0,0.7700000000000005,"Rain"
"2015-06-07",18.0,44.0,0.0,1021.0,6.0,16.0,-3.0,-4.06,""
"2015-06-08",22.0,63.0,1.52,1013.0,10.0,16.0,1.0,-2.54,"Rain"
"2015-06-09",24.0,65.0,0.25,1006.0,8.0,14.0,3.0,-3.81,"Rain"
